drug,date,forecast,ci_lower,ci_upper
Bemiparin,2025-04-01,1.48923585551701,-476817672.46716815,476817675.4456399
Bemiparin,2025-05-01,1.5292358555170118,-497314683.33250403,497314686.3909757
Bemiparin,2025-06-01,1.629235855517013,-516999705.68312585,516999708.9415976
Bemiparin,2025-07-01,1.5692358555170116,-535962216.2623979,535962219.4008696
Bemiparin,2025-08-01,1.3392358555170079,-554276374.2397163,554276376.9181881
Bemiparin,2025-09-01,1.60923585551701,-572004458.25701,572004461.4754817
Bemiparin,2025-10-01,1.569235855517012,-589199373.59066,589199376.7291316
Bemiparin,2025-11-01,1.689235855517012,-605906513.6006624,605906516.979134
Bemiparin,2025-12-01,1.619235855517011,-622165174.8835025,622165178.1219742
Bemiparin,2026-01-01,1.438934907740736,-652443958.3760314,652443961.2539012
Bemiparin,2026-02-01,1.6389811406893546,-683633164.5641627,683633167.8421249
Bemiparin,2026-03-01,1.568981140689351,-709119764.1114005,709119767.2493628
Bemiparin,2026-04-01,1.538981140689347,-733721592.9532782,733721596.0312406
Bemiparin,2026-05-01,1.5789811406893488,-757524858.983316,757524862.1412783
Bemiparin,2026-06-01,1.67898114068935,-780602618.4265318,780602621.7844942
Bemiparin,2026-07-01,1.6189811406893486,-803017424.5065395,803017427.7445017
Bemiparin,2026-08-01,1.3889811406893449,-824823326.849812,824823329.6277742
Bemiparin,2026-09-01,1.658981140689347,-846067406.3840092,846067409.7019714
Bemiparin,2026-10-01,1.618981140689349,-866790973.8175702,866790977.0555325
Bemiparin,2026-11-01,1.738981140689349,-887030511.4024283,887030514.8803905
Bemiparin,2026-12-01,1.668981140689348,-906818429.6553805,906818432.9933429
Bemiparin,2027-01-01,1.488680192913073,-938955887.978316,938955890.9556764
Bemiparin,2027-02-01,1.6887264258616916,-971986599.8003545,971986603.1778073
Bemiparin,2027-03-01,1.618726425861688,-1000110637.8616732,1000110641.099126
Bemiparin,2027-04-01,1.588726425861684,-1027465145.7177379,1027465148.8951907
Bemiparin,2027-05-01,1.6287264258616858,-1054110033.7362227,1054110036.9936757
Bemiparin,2027-06-01,1.728726425861687,-1080097819.9451694,1080097823.4026222
Bemiparin,2027-07-01,1.6687264258616856,-1105474847.4853806,1105474850.8228335
Bemiparin,2027-08-01,1.4387264258616819,-1130282255.274125,1130282258.151578
Bemiparin,2027-09-01,1.708726425861684,-1154556760.6756513,1154556764.0931041
Bemiparin,2027-10-01,1.668726425861686,-1178331299.4919858,1178331302.8294387
Bemiparin,2027-11-01,1.788726425861686,-1201635547.3786147,1201635550.9560673
Bemiparin,2027-12-01,1.718726425861685,-1224496356.2792456,1224496359.7166984
Bemiparin,2028-01-01,1.53842547808541,-1258519674.06165,1258519677.138501
Bemiparin,2028-02-01,1.7384717110340286,-1293397554.2650552,1293397557.7419987
Bemiparin,2028-03-01,1.668471711034025,-1323912549.9011707,1323912553.2381144
Bemiparin,2028-04-01,1.638471711034021,-1353739873.8661935,1353739877.1431367
Bemiparin,2028-05-01,1.6784717110340228,-1382924022.5756197,1382924025.9325633
Bemiparin,2028-06-01,1.778471711034024,-1411504891.300853,1411504894.8577964
Bemiparin,2028-07-01,1.7184717110340226,-1439518414.1118436,1439518417.548787
Bemiparin,2028-08-01,1.4884717110340189,-1466997093.2061176,1466997096.1830611
Bemiparin,2028-09-01,1.7584717110340211,-1493970440.442481,1493970443.9594245
Bemiparin,2028-10-01,1.718471711034023,-1520465350.8949492,1520465354.3318927
Bemiparin,2028-11-01,1.838471711034023,-1546506414.1927063,1546506417.8696496
Bemiparin,2028-12-01,1.768471711034022,-1572116183.8721898,1572116187.4091332
Bemiparin,2029-01-01,1.588170763257747,-1607989040.4891722,1607989043.6655138
Bemiparin,2029-02-01,1.7882169962063656,-1644675334.9747071,1644675338.5511413
Bemiparin,2029-03-01,1.718216996206362,-1677398312.7266066,1677398316.1630404
Bemiparin,2029-04-01,1.688216996206358,-1709495025.2856643,1709495028.6620982
Bemiparin,2029-05-01,1.7282169962063598,-1741000110.0450501,1741000113.501484
Bemiparin,2029-06-01,1.828216996206361,-1771945124.619164,1771945128.275598
Bemiparin,2029-07-01,1.7682169962063596,-1802358917.2839017,1802358920.8203359
Bemiparin,2029-08-01,1.5382169962063559,-1832267941.485624,1832267944.5620582
Bemiparin,2029-09-01,1.8082169962063581,-1861696524.7446244,1861696528.3610585
Bemiparin,2029-10-01,1.76821699620636,-1890667102.437336,1890667105.9737701
Bemiparin,2029-11-01,1.88821699620636,-1919200415.1790335,1919200418.9554675
Bemiparin,2029-12-01,1.818216996206359,-1947315684.6633573,1947315688.2997913
Bemiparin,2030-01-01,1.637916048430084,-1984982094.8274724,1984982098.1033046
Bemiparin,2030-02-01,1.8379622813787027,-2023423318.7091284,2023423322.3850532
Bemiparin,2030-03-01,1.767962281378699,-2058209919.1867666,2058209922.722691
Bemiparin,2030-04-01,1.737962281378695,-2092418269.8557286,2092418273.331653
Bemiparin,2030-05-01,1.7779622813786968,-2126076282.8086905,2126076286.364615
Bemiparin,2030-06-01,1.877962281378698,-2159209694.3915877,2159209698.147512
Bemiparin,2030-07-01,1.8179622813786966,-2191842295.6676707,2191842299.303595
Bemiparin,2030-08-01,1.5879622813786929,-2223996131.8686037,2223996135.044528
Bemiparin,2030-09-01,1.8579622813786951,-2255691676.145131,2255691679.8610554
Bemiparin,2030-10-01,1.817962281378697,-2286947984.2095003,2286947987.8454247
Bemiparin,2030-11-01,1.937962281378697,-2317782825.545606,2317782829.4215302
Bemiparin,2030-12-01,1.867962281378696,-2348212803.641875,2348212807.3777995
Dabigatran etexilate,2023-01-01,2.7917303069244395,2.611175073787393,2.972285540061486
Dabigatran etexilate,2023-02-01,2.848490435949893,2.6643781268374287,3.0326027450623574
Dabigatran etexilate,2023-03-01,2.866990256811414,2.682457639723117,3.0515228738997107
Dabigatran etexilate,2023-04-01,2.844695461518702,2.6529579205771108,3.0364330024602935
Dabigatran etexilate,2023-05-01,2.862754971989036,2.669991997198955,3.0555179467791174
Dabigatran etexilate,2023-06-01,2.878915698047131,2.684736693136027,3.073094702958235
Dabigatran etexilate,2023-07-01,2.804958910171935,2.608322216961377,3.0015956033824933
Dabigatran etexilate,2023-08-01,2.805048525612712,2.606638719882505,3.0034583313429186
Dabigatran etexilate,2023-09-01,2.861159209043348,2.6610024242483576,3.0613159938383387
Dabigatran etexilate,2023-10-01,2.7812002449985154,2.5791330532676326,2.983267436729398
Dabigatran etexilate,2023-11-01,2.866108542648952,2.6622287194969334,3.069988365800971
Dabigatran etexilate,2023-12-01,2.8377456923271023,2.632083304000433,3.0434080806537716
Dabigatran etexilate,2024-01-01,2.8055810491269044,2.5712254430586214,3.0399366551951874
Dabigatran etexilate,2024-02-01,2.8323526557915804,2.597775715903156,3.066929595680005
Dabigatran etexilate,2024-03-01,2.841063026541496,2.604175371630627,3.0779506814523647
Dabigatran etexilate,2024-04-01,2.830553979598117,2.5880860763151605,3.0730218828810734
Dabigatran etexilate,2024-05-01,2.8390706720917773,2.5938669631415494,3.0842743810420052
Dabigatran etexilate,2024-06-01,2.846688125322882,2.5985275881439853,3.094848662501779
Dabigatran etexilate,2024-07-01,2.811820573965318,2.5601684456775855,3.0634727022530504
Dabigatran etexilate,2024-08-01,2.811863258382449,2.5571081241704348,3.0666183925944632
Dabigatran etexilate,2024-09-01,2.838316960096962,2.5805020741560445,3.09613184603788
Dabigatran etexilate,2024-10-01,2.80061950481717,2.5396844941383936,3.0615545154959465
Dabigatran etexilate,2024-11-01,2.840650428062144,2.5766746888039407,3.1046261673203475
